sim.id,measurement,method,variable,component,value
2,mean,mcmc,tau,-1,0.769670000625783
2,sd,mcmc,tau,-1,0.0481101401080165
2,effsize,mcmc,tau,-1,1700
2,mean,mcmc,nu,-1,1.94327447410774
2,sd,mcmc,nu,-1,1.11848870092036
2,effsize,mcmc,nu,-1,1700
2,mean,mcmc,gamma,1,0.435961794622585
2,sd,mcmc,gamma,1,0.163622068367388
2,effsize,mcmc,gamma,1,1969.54552221698
2,mean,mcmc,gamma,2,0.163473463246035
2,sd,mcmc,gamma,2,0.14185552603069
2,effsize,mcmc,gamma,2,1700
2,mean,mcmc,gamma,3,0.210160448833029
2,sd,mcmc,gamma,3,0.145448711128257
2,effsize,mcmc,gamma,3,1700
2,mean,mcmc,gamma,4,1.46229198918006
2,sd,mcmc,gamma,4,0.142474802400289
2,effsize,mcmc,gamma,4,1816.58910778308
2,mean,mcmc,gamma,5,0.351773131363602
2,sd,mcmc,gamma,5,0.146291301203155
2,effsize,mcmc,gamma,5,1700
3,mean,truth,tau,-1,0.291648271645034
3,mean,mfvb,tau,-1,0.305859256440562
3,sd,mfvb,tau,-1,0.0192673221125919
3,sd,lrvb,tau,-1,0.0194205754939052
3,mean,truth,nu,-1,2.18769713162602
3,mean,mfvb,nu,-1,1.20161010648937
3,sd,mfvb,nu,-1,0.566444436427284
3,sd,lrvb,nu,-1,0.579288960679851
3,mean,truth,beta,1,0.261037682825028
3,mean,mfvb,beta,1,0.114382159828406
3,sd,mfvb,beta,1,0.086003065406635
3,sd,lrvb,beta,1,0.109147170939748
3,mean,truth,beta,2,0.956400164105977
3,mean,mfvb,beta,2,0.910085783429433
3,sd,mfvb,beta,2,0.0816362148886091
3,sd,lrvb,beta,2,0.111087664307457
3,mean,truth,beta,3,1.45817632298339
3,mean,mfvb,beta,3,1.49802473169967
3,sd,mfvb,beta,3,0.0851498429506638
3,sd,lrvb,beta,3,0.0854335156540738
3,mean,truth,gamma,1,-0.393670248530402
3,mean,mfvb,gamma,1,-0.572626640114805
3,sd,mfvb,gamma,1,0.215275577943691
3,sd,lrvb,gamma,1,0.246922380165984
3,mean,truth,gamma,2,1.20447397065449
3,mean,mfvb,gamma,2,1.31791846600774
3,sd,mfvb,gamma,2,0.193386529589668
3,sd,lrvb,gamma,2,0.21858586782615
3,mean,truth,gamma,3,0.278355112045137
3,mean,mfvb,gamma,3,-0.087817833003217
3,sd,mfvb,gamma,3,0.1996488993852
3,sd,lrvb,gamma,3,0.226068872383879
3,mean,truth,gamma,4,-1.09774404629165
3,mean,mfvb,gamma,4,-1.07516073288101
3,sd,mfvb,gamma,4,0.183578133559572
3,sd,lrvb,gamma,4,0.220744608832014
3,mean,truth,gamma,5,-0.623399118325277
3,mean,mfvb,gamma,5,-0.251678409332806
3,sd,mfvb,gamma,5,0.202021863081089
3,sd,lrvb,gamma,5,0.233239077983294
3,mean,mcmc,beta,1,0.0686854249694575
3,sd,mcmc,beta,1,0.104444678621103
3,effsize,mcmc,beta,1,1700
3,mean,mcmc,beta,2,0.802388885511572
3,sd,mcmc,beta,2,0.10237845087527
3,effsize,mcmc,beta,2,1572.21424663722
3,mean,mcmc,beta,3,1.39662888247005
3,sd,mcmc,beta,3,0.0834930077101201
3,effsize,mcmc,beta,3,1700
3,mean,mcmc,tau,-1,0.304897560732302
3,sd,mcmc,tau,-1,0.0190961990132395
3,effsize,mcmc,tau,-1,1700
3,mean,mcmc,nu,-1,1.65568236208038
3,sd,mcmc,nu,-1,0.947762441025681
3,effsize,mcmc,nu,-1,1700
3,mean,mcmc,gamma,1,-0.455147155545294
3,sd,mcmc,gamma,1,0.24163444650387
3,effsize,mcmc,gamma,1,1700
3,mean,mcmc,gamma,2,1.38560535166776
3,sd,mcmc,gamma,2,0.216102089014321
3,effsize,mcmc,gamma,2,1700
3,mean,mcmc,gamma,3,-0.00263903653302049
3,sd,mcmc,gamma,3,0.226986115921987
3,effsize,mcmc,gamma,3,1700
3,mean,mcmc,gamma,4,-0.945727208525728
3,sd,mcmc,gamma,4,0.214141434361547
3,effsize,mcmc,gamma,4,1700
3,mean,mcmc,gamma,5,-0.15238433766449
3,sd,mcmc,gamma,5,0.220868024252668
3,effsize,mcmc,gamma,5,1700
4,mean,truth,tau,-1,0.844568216466802
4,mean,mfvb,tau,-1,0.879550522570378
4,sd,mfvb,tau,-1,0.0554064749580506
4,sd,lrvb,tau,-1,0.0558561642933054
4,mean,truth,nu,-1,3.55173819344544
4,mean,mfvb,nu,-1,1.26885177656193
4,sd,mfvb,nu,-1,0.598142463685027
4,sd,lrvb,nu,-1,0.606285681799026
4,mean,truth,beta,1,2.43442186019134
4,mean,mfvb,beta,1,2.4854798126405
4,sd,mfvb,beta,1,0.0507282539165465
4,sd,lrvb,beta,1,0.0655444313732942
4,mean,truth,beta,2,1.85656567708148
4,mean,mfvb,beta,2,1.82283104829727
4,sd,mfvb,beta,2,0.0481513631050768
4,sd,lrvb,beta,2,0.0669925859777721
4,mean,truth,beta,3,2.74245773356756
4,mean,mfvb,beta,3,2.69212423342009
4,sd,mfvb,beta,3,0.0502246696948441
4,sd,lrvb,beta,3,0.0503978104552076
4,mean,truth,gamma,1,-0.0646757475394091
4,mean,mfvb,gamma,1,-0.0665323509538927
4,sd,mfvb,gamma,1,0.129245427386752
4,sd,lrvb,gamma,1,0.149420990222113
4,mean,truth,gamma,2,-0.0376029343742303
4,mean,mfvb,gamma,2,-0.0201266025596432
4,sd,mfvb,gamma,2,0.115696732149708
4,sd,lrvb,gamma,2,0.131358095931355
4,mean,truth,gamma,3,-0.5625887563015
4,mean,mfvb,gamma,3,-0.584524046951964
4,sd,mfvb,gamma,3,0.119558508870505
4,sd,lrvb,gamma,3,0.137082071210517
4,mean,truth,gamma,4,-0.20119919023656
4,mean,mfvb,gamma,4,-0.146864367252366
4,sd,mfvb,gamma,4,0.109670132698297
4,sd,lrvb,gamma,4,0.132620157568853
4,mean,truth,gamma,5,-1.88632639038761
4,mean,mfvb,gamma,5,-1.62907920205874
4,sd,mfvb,gamma,5,0.121024779127335
4,sd,lrvb,gamma,5,0.142729171306885
4,mean,mcmc,beta,1,2.35214919884954
4,sd,mcmc,beta,1,0.0623613962227771
4,effsize,mcmc,beta,1,1509.66274867095
4,mean,mcmc,beta,2,1.69852440273197
4,sd,mcmc,beta,2,0.0638950791060055
4,effsize,mcmc,beta,2,1700
4,mean,mcmc,beta,3,2.62319706185636
4,sd,mcmc,beta,3,0.0500003074175772
4,effsize,mcmc,beta,3,1700
4,mean,mcmc,tau,-1,0.868591611391919
4,sd,mcmc,tau,-1,0.0561580164220932
4,effsize,mcmc,tau,-1,1700
4,mean,mcmc,nu,-1,2.05237934562559
4,sd,mcmc,nu,-1,1.14051304515525
4,effsize,mcmc,nu,-1,1700
4,mean,mcmc,gamma,1,0.106006140181672
4,sd,mcmc,gamma,1,0.148900266578637
4,effsize,mcmc,gamma,1,1700
4,mean,mcmc,gamma,2,0.12383256814654
4,sd,mcmc,gamma,2,0.129506192833422
4,effsize,mcmc,gamma,2,1700.00000000001
4,mean,mcmc,gamma,3,-0.421285010797026
4,sd,mcmc,gamma,3,0.140725680716537
4,effsize,mcmc,gamma,3,1700.00000000001
4,mean,mcmc,gamma,4,0.0306820563134239
4,sd,mcmc,gamma,4,0.129612727167268
4,effsize,mcmc,gamma,4,1951.10390681143
4,mean,mcmc,gamma,5,-1.45583714853435
4,sd,mcmc,gamma,5,0.139671281359883
4,effsize,mcmc,gamma,5,1700
5,mean,truth,tau,-1,0.550854484286823
5,mean,mfvb,tau,-1,0.570101429718687
5,sd,mfvb,tau,-1,0.0359130144075718
5,sd,lrvb,tau,-1,0.0361951798041277
5,mean,truth,nu,-1,1.42593534736056
5,mean,mfvb,nu,-1,1.68339239686339
5,sd,mfvb,nu,-1,0.793558786146655
5,sd,lrvb,nu,-1,0.801690618244964
5,mean,truth,beta,1,1.7612328367136
5,mean,mfvb,beta,1,1.77042433067058
5,sd,mfvb,beta,1,0.0630048076552059
5,sd,lrvb,beta,1,0.0803747126956642
5,mean,truth,beta,2,2.37229423071421
5,mean,mfvb,beta,2,2.3052053348449
5,sd,mfvb,beta,2,0.0598047020816051
5,sd,lrvb,beta,2,0.081896321212728
5,mean,truth,beta,3,2.59744438314737
5,mean,mfvb,beta,3,2.69190164128309
5,sd,mfvb,beta,3,0.0623794670563462
5,sd,lrvb,beta,3,0.0625912149573907
5,mean,truth,gamma,1,-1.15360504724442
5,mean,mfvb,gamma,1,-0.873181564541313
5,sd,mfvb,gamma,1,0.158783038361147
5,sd,lrvb,gamma,1,0.183239535580952
5,mean,truth,gamma,2,-0.355665185225773
5,mean,mfvb,gamma,2,-0.346131796463734
5,sd,mfvb,gamma,2,0.142445412230011
5,sd,lrvb,gamma,2,0.160853184291388
5,mean,truth,gamma,3,-0.0787122528458166
5,mean,mfvb,gamma,3,-0.0271692604548963
5,sd,mfvb,gamma,3,0.147112830722372
5,sd,lrvb,gamma,3,0.16707810339831
5,mean,truth,gamma,4,0.390522346065342
5,mean,mfvb,gamma,4,0.223917457864394
5,sd,mfvb,gamma,4,0.135145313035118
5,sd,lrvb,gamma,4,0.161880301530258
5,mean,truth,gamma,5,0.626570111669307
5,mean,mfvb,gamma,5,0.552848374435508
5,sd,mfvb,gamma,5,0.148882801537681
5,sd,lrvb,gamma,5,0.172465415229057
5,mean,mcmc,beta,1,1.61693383417482
5,sd,mcmc,beta,1,0.0781312450044934
5,effsize,mcmc,beta,1,1618.67485163627
5,mean,mcmc,beta,2,2.11959208492035
5,sd,mcmc,beta,2,0.0802320089580932
5,effsize,mcmc,beta,2,1289.41382373185
5,mean,mcmc,beta,3,2.58562924778879
5,sd,mcmc,beta,3,0.0614472999322851
5,effsize,mcmc,beta,3,1700
5,mean,mcmc,tau,-1,0.560051380336909
5,sd,mcmc,tau,-1,0.0354742503652916
5,effsize,mcmc,tau,-1,2205.62627842994
5,mean,mcmc,nu,-1,3.09713822531386
5,sd,mcmc,nu,-1,1.68161352133151
5,effsize,mcmc,nu,-1,1700
5,mean,mcmc,gamma,1,-0.617707583162553
5,sd,mcmc,gamma,1,0.179413270345924
5,effsize,mcmc,gamma,1,1425.58196714798
5,mean,mcmc,gamma,2,-0.153022729868324
5,sd,mcmc,gamma,2,0.152907967051443
5,effsize,mcmc,gamma,2,1700
5,mean,mcmc,gamma,3,0.169018317610755
5,sd,mcmc,gamma,3,0.170208800968426
5,effsize,mcmc,gamma,3,1700
5,mean,mcmc,gamma,4,0.441511749141074
5,sd,mcmc,gamma,4,0.161383343261337
5,effsize,mcmc,gamma,4,1380.38373189822
5,mean,mcmc,gamma,5,0.732454363858063
5,sd,mcmc,gamma,5,0.172658697486981
5,effsize,mcmc,gamma,5,1700
6,mean,truth,tau,-1,0.92647560725625
6,mean,mfvb,tau,-1,1.03974710755921
6,sd,mfvb,tau,-1,0.0654979112619143
6,sd,lrvb,tau,-1,0.066022006685832
6,mean,truth,nu,-1,2.38299082896436
6,mean,mfvb,nu,-1,1.50276106142176
6,sd,mfvb,nu,-1,0.708408358022946
6,sd,lrvb,nu,-1,0.714034764460353
6,mean,truth,beta,1,2.84091925737995
6,mean,mfvb,beta,1,2.94396890350744
6,sd,mfvb,beta,1,0.0466578929869816
6,sd,lrvb,beta,1,0.0601569910176921
6,mean,truth,beta,2,0.703623869343168
6,mean,mfvb,beta,2,0.654772767168935
6,sd,mfvb,beta,2,0.0442876821644559
6,sd,lrvb,beta,2,0.0614407463247382
6,mean,truth,beta,3,2.1621450279029
6,mean,mfvb,beta,3,2.21801797031236
6,sd,mfvb,beta,3,0.0461946916282572
6,sd,lrvb,beta,3,0.0463535951580868
6,mean,truth,gamma,1,-0.666941654045591
6,mean,mfvb,gamma,1,-0.765193724106958
6,sd,mfvb,gamma,1,0.11887023116699
6,sd,lrvb,gamma,1,0.137732256331656
6,mean,truth,gamma,2,0.565787743552173
6,mean,mfvb,gamma,2,0.485478827838347
6,sd,mfvb,gamma,2,0.106409579072115
6,sd,lrvb,gamma,2,0.120657417575649
6,mean,truth,gamma,3,0.568716927265638
6,mean,mfvb,gamma,3,0.457254216868963
6,sd,mfvb,gamma,3,0.109961246389357
6,sd,lrvb,gamma,3,0.125586748556308
6,mean,truth,gamma,4,-0.552573122997939
6,mean,mfvb,gamma,4,-0.73102192770802
6,sd,mfvb,gamma,4,0.100866906722973
6,sd,lrvb,gamma,4,0.122081245955399
6,mean,truth,gamma,5,-0.690671550911249
6,mean,mfvb,gamma,5,-0.603474802522437
6,sd,mfvb,gamma,5,0.111309768787231
6,sd,lrvb,gamma,5,0.130013456444719
6,mean,mcmc,beta,1,2.83108367059517
6,sd,mcmc,beta,1,0.0599146466144404
6,effsize,mcmc,beta,1,1700
6,mean,mcmc,beta,2,0.587107373176478
6,sd,mcmc,beta,2,0.0604458120750441
6,effsize,mcmc,beta,2,1564.40615554248
6,mean,mcmc,beta,3,2.17063352176575
6,sd,mcmc,beta,3,0.0469582243998431
6,effsize,mcmc,beta,3,1700
6,mean,mcmc,tau,-1,1.03216682203397
6,sd,mcmc,tau,-1,0.0679439912751196
6,effsize,mcmc,tau,-1,1700
6,mean,mcmc,nu,-1,2.56147787543292
6,sd,mcmc,nu,-1,1.36035666451756
6,effsize,mcmc,nu,-1,1700
6,mean,mcmc,gamma,1,-0.634198403241149
6,sd,mcmc,gamma,1,0.13839791141192
6,effsize,mcmc,gamma,1,1700
6,mean,mcmc,gamma,2,0.57892428759087
6,sd,mcmc,gamma,2,0.122594777669165
6,effsize,mcmc,gamma,2,1700
6,mean,mcmc,gamma,3,0.555173659598859
6,sd,mcmc,gamma,3,0.127856967281326
6,effsize,mcmc,gamma,3,1700
6,mean,mcmc,gamma,4,-0.599181024662939
6,sd,mcmc,gamma,4,0.123590653688872
6,effsize,mcmc,gamma,4,1700
6,mean,mcmc,gamma,5,-0.494761655821454
6,sd,mcmc,gamma,5,0.134628587603506
6,effsize,mcmc,gamma,5,1700
7,mean,truth,tau,-1,0.265690229318846
7,mean,mfvb,tau,-1,0.27087968632829
7,sd,mfvb,tau,-1,0.0170638163153295
7,sd,lrvb,tau,-1,0.0171944425154664
7,mean,truth,nu,-1,0.789900505928402
7,mean,mfvb,nu,-1,1.60557726204522
7,sd,mfvb,nu,-1,0.756876379807406
7,sd,lrvb,nu,-1,0.771031189863588
7,mean,truth,beta,1,0.10797687504662
7,mean,mfvb,beta,1,-0.226020722931931
7,sd,mfvb,beta,1,0.0913830466266515
7,sd,lrvb,beta,1,0.114579156361163
7,mean,truth,beta,2,2.40248733247923
7,mean,mfvb,beta,2,2.38246979354942
7,sd,mfvb,beta,2,0.086743430135734
7,sd,lrvb,beta,2,0.116302831094495
7,mean,truth,beta,3,1.71375515978356
7,mean,mfvb,beta,3,1.68258007452853
7,sd,mfvb,beta,3,0.0904765633867583
7,sd,lrvb,beta,3,0.090773595246629
7,mean,truth,gamma,1,-0.903941297468125
7,mean,mfvb,gamma,1,-0.483089676009842
7,sd,mfvb,gamma,1,0.225580286819239
7,sd,lrvb,gamma,1,0.256712100699661
7,mean,truth,gamma,2,0.212491959849385
7,mean,mfvb,gamma,2,0.527176300351253
7,sd,mfvb,gamma,2,0.203184407193843
7,sd,lrvb,gamma,2,0.227486505811059
7,mean,truth,gamma,3,0.124590614250845
7,mean,mfvb,gamma,3,0.413429073135354
7,sd,mfvb,gamma,3,0.209609948658832
