sim.id,measurement,method,variable,component,value
2,effsize,mcmc,beta,3,1700
2,mean,mcmc,tau,-1,0.59493685776239
2,sd,mcmc,tau,-1,0.0377571658585241
2,effsize,mcmc,tau,-1,1556.24141993609
2,mean,mcmc,nu,-1,0.266425987142246
2,sd,mcmc,nu,-1,0.145409324796193
2,effsize,mcmc,nu,-1,1700
2,mean,mcmc,gamma,1,-1.44780533597696
2,sd,mcmc,gamma,1,0.105991285504351
2,effsize,mcmc,gamma,1,1700
2,mean,mcmc,gamma,2,-4.61065752267482
2,sd,mcmc,gamma,2,0.102031493933139
2,effsize,mcmc,gamma,2,1700
2,mean,mcmc,gamma,3,-0.863042102847942
2,sd,mcmc,gamma,3,0.109391865552343
2,effsize,mcmc,gamma,3,1700
2,mean,mcmc,gamma,4,-0.146383169242101
2,sd,mcmc,gamma,4,0.11357645946031
2,effsize,mcmc,gamma,4,1700
2,mean,mcmc,gamma,5,-1.30239293599071
2,sd,mcmc,gamma,5,0.0978788930720874
2,effsize,mcmc,gamma,5,1700
3,mean,truth,tau,-1,0.756250889558732
3,mean,mfvb,tau,-1,0.754195485321075
3,sd,mfvb,tau,-1,0.0475098498592197
3,sd,lrvb,tau,-1,0.0478881675548685
3,mean,truth,nu,-1,2.90048446565435
3,mean,mfvb,nu,-1,1.69850278148285
3,sd,mfvb,nu,-1,0.800681889767158
3,sd,lrvb,nu,-1,0.80332780932806
3,mean,truth,beta,1,0.670202391211532
3,mean,mfvb,beta,1,0.548780988857128
3,sd,mfvb,beta,1,0.0546207904708316
3,sd,lrvb,beta,1,0.0745872610892191
3,mean,truth,beta,2,1.74411338587003
3,mean,mfvb,beta,2,1.73498552102517
3,sd,mfvb,beta,2,0.0512864249225984
3,sd,lrvb,beta,2,0.0514122549890869
3,mean,truth,beta,3,0.83810940676973
3,mean,mfvb,beta,3,0.898477065019833
3,sd,mfvb,beta,3,0.050414290066669
3,sd,lrvb,beta,3,0.0505969729638506
3,mean,truth,gamma,1,-0.0910642380375504
3,mean,mfvb,gamma,1,0.0192559157054134
3,sd,mfvb,gamma,1,0.08559008509103
3,sd,lrvb,gamma,1,0.0946399371574312
3,mean,truth,gamma,2,0.687040309271768
3,mean,mfvb,gamma,2,0.782881458351428
3,sd,mfvb,gamma,2,0.082900965622466
3,sd,lrvb,gamma,2,0.0889783109851262
3,mean,truth,gamma,3,-0.60435318233694
3,mean,mfvb,gamma,3,-0.548694695652984
3,sd,mfvb,gamma,3,0.0884626948443983
3,sd,lrvb,gamma,3,0.0963251499582847
3,mean,truth,gamma,4,0.304152320875173
3,mean,mfvb,gamma,4,0.368896131409184
3,sd,mfvb,gamma,4,0.093616867958699
3,sd,lrvb,gamma,4,0.0993345852869611
3,mean,truth,gamma,5,0.469549376155801
3,mean,mfvb,gamma,5,0.459977202537974
3,sd,mfvb,gamma,5,0.0774141876563407
3,sd,lrvb,gamma,5,0.084657123446415
3,mean,mcmc,beta,1,0.52401592884891
3,sd,mcmc,beta,1,0.0752509504920918
3,effsize,mcmc,beta,1,1569.6260593999
3,mean,mcmc,beta,2,1.69334902779748
3,sd,mcmc,beta,2,0.0513356072722389
3,effsize,mcmc,beta,2,1700
3,mean,mcmc,beta,3,0.880178819568826
3,sd,mcmc,beta,3,0.0501001875614635
3,effsize,mcmc,beta,3,1700
3,mean,mcmc,tau,-1,0.752135740782403
3,sd,mcmc,tau,-1,0.0478687930758104
3,effsize,mcmc,tau,-1,1532.73297911272
3,mean,mcmc,nu,-1,3.00440925947213
3,sd,mcmc,nu,-1,1.61133370604243
3,effsize,mcmc,nu,-1,1380.88512303115
3,mean,mcmc,gamma,1,0.0295716647612583
3,sd,mcmc,gamma,1,0.0912321131075908
3,effsize,mcmc,gamma,1,1836.12527067563
3,mean,mcmc,gamma,2,0.787661986849716
3,sd,mcmc,gamma,2,0.0912168246991101
3,effsize,mcmc,gamma,2,1700
3,mean,mcmc,gamma,3,-0.536837392395936
3,sd,mcmc,gamma,3,0.0982971604760486
3,effsize,mcmc,gamma,3,1700
