sim.id,component,lrvb,mcmc
56,1410,-0.000494241267011196,0.00452738584682307
10,733,6.19236433350867e-05,2.17727417374001e-06
27,279,-0.000242032979896911,0.00131508161380003
51,1782,-3.48445846536203e-05,-0.000137689638039587
77,257,0.000397827049742621,0.000222865289803129
58,139,0.00133349646161451,0.00134562312856913
10,945,-0.00101786113106249,-0.000776367057570249
21,30,-0.00353134021079655,-0.00212315270914665
36,1932,0.000536568150998278,-0.00100998116240059
46,1994,-0.000803836138175624,0.0020171167437371
4,218,0.000922994018973926,0.00122633062729709
93,1847,-0.00128319490957148,-0.00562562255375607
52,1353,0.00133315677636826,0.00285028555415195
74,1140,0.00301326271193621,0.00748561479184524
21,653,0.0025641785127566,0.00165726444589951
55,952,-0.00116286059119269,-0.00182154555614085
10,1275,0.029638664462336,0.0463942427974818
33,51,0.000340746600185002,-0.000323892936944854
43,488,0.000352434193228995,4.69891848793771e-05
86,1207,-0.00688012998808572,-0.023422744489686
74,1195,-0.000605874564686478,-0.0023565086628257
10,39,-3.84512961786898e-05,0.000149751693738181
13,719,-4.0131381898684e-05,-0.00162917989846367
56,1260,0.0222134624608865,0.0344056087874864
70,692,-0.00716807388604332,-0.00720174565072911
67,1763,-0.000421906182544344,-0.000111731705723779
49,224,0.000583387761893523,0.0009967244956663
88,317,-0.000190233897523265,-2.40305072553591e-05
63,1730,-0.00298202897641145,-0.00265669934811968
51,664,0.00257287945220709,0.00286274457257369
49,1956,0.00443253925234137,0.0119304457240035
34,1495,0.00701824855436707,0.00516232393970771
59,908,0.000671809887293416,0.000531212072333268
36,390,-0.000772049351009719,0.000205468078115349
21,959,-0.00671692683073164,-0.00919823547690259
68,915,0.00177772912577834,0.00125118682525901
13,1213,-0.00252644300878404,-0.00296566147800376
21,1057,0.00429857596757697,0.00296689123712265
66,541,0.00220946148621885,0.0030485545102764
37,924,-0.0018480057245168,-0.00157067694080676
10,1816,-0.00198077964214243,-0.00518118561743968
98,1904,-0.000324994080089352,0.000416631910294812
71,299,0.000184697111504363,0.000371998257726744
70,1227,0.00179078599517968,0.00388400111873375
63,1217,0.0317732438413764,0.0365410175299308
56,946,0.00318011912812857,0.00499099180404241
18,105,0.0012710248835695,-0.000173348974133531
61,1887,0.0080152152199782,0.00793018108384065
33,1576,-0.000555470525649432,-4.26153229613439e-05
85,752,-0.00101544586273627,-0.0062855624971949
39,442,-0.00310581785100272,-0.00336330119605404
8,1089,0.000377514202413909,0.000100945500394433
37,1176,0.0245641451004626,0.0318679283343827
56,1943,-0.00381560150684611,-0.00690589717230905
73,1123,0.0145532910131946,0.00964495027950077
16,1550,0.00344568807905199,0.00420419459585783
22,1384,-0.0106079554188562,-0.0147171551206378
86,1321,-0.0114256301024827,-0.0242734682999503
47,1844,9.19190488360565e-05,0.00257553975737857
17,1241,0.00721684121183532,0.00900740308676081
82,93,-0.000842147958568757,-0.000329044131268473
93,1547,-0.000319302463866397,0.000875560855252555
27,1315,-0.00146546082444152,-0.00104561367292237
57,225,-0.0081038746679087,-0.00803074635485233
54,367,-0.00163989701194321,-0.00179367983127417
83,1587,0.00269978258491068,0.00418087582542854
12,922,-0.0129348497295501,-0.0133952003705051
17,1263,0.00163371574266923,0.00166224770156948
29,1899,0.00173560781647187,0.000913327950202263
8,1419,0.00653328587088179,0.00524502111290428
16,291,0.000577964131549488,0.000863437302186886
3,11,-0.00262484096567402,-0.00136314715553804
13,779,-0.00100324481249218,-0.00290176687842367
6,1710,0.000166319423264727,-0.000188031900520672
37,1220,-0.00992710999763001,0.00690329183077147
60,135,0.000307179192431882,0.000682662688782615
6,1207,0.0192526755247922,0.0187088617792575
42,1699,0.00537918247680391,0.00385515725727708
8,354,-0.000284307222899896,-0.000395954859742994
67,618,-0.00426246925651389,-0.00765832045411852
57,1689,0.000477155164065389,0.00625042621596409
20,795,0.00089156465509996,0.000180409105174583
14,252,-0.000125594594183006,-0.000368002106303317
1,466,0.00169087333277579,0.00134863148421316
51,510,-0.0119464999435681,-0.0100925864192413
56,887,0.00346500333666524,0.00240843731581528
49,1911,-0.00243863180432675,-0.0013309912552065
33,1433,-0.00036856447217653,0.00378514334339034
8,937,0.0019799266783438,0.000248561251208571
14,1222,-0.0737536406630803,-0.0779459188867835
78,1320,-0.0155191091267016,-0.00879221992509008
11,1583,0.000708258286431971,0.00132879728253483
26,1335,-0.0169499916976356,-0.0214868479418643
39,1510,0.00163548149854308,0.00470288162544613
7,1928,0.00392139202474366,0.00869812403927075
65,1638,0.0073223900773392,0.0134990093585038
46,1288,0.00540730110249821,0.0132025900829196
76,302,-0.00112517083039297,-0.00127341304557271
28,971,-0.00725028597870602,-0.0046278058581349
91,178,0.000255851474064804,7.7404651810027e-05
67,1914,-0.00845232498276077,-0.00544856954686066
73,68,-0.00093608372023856,-0.00113156595068371
54,1518,0.000921879214149,0.00491287314187886
93,369,-0.00153720473289785,-0.00159725579116747
7,378,-0.00271448307858955,-0.00324213413260561
53,761,-0.00358146197985418,0.000445948394649472
77,545,0.0021637409175141,0.00504929832551241
46,1179,0.00210850915492318,-0.00299856734273262
71,1462,0.0144042639378832,0.0236770449913031
35,59,0.000931184561612038,0.000405958824206077
88,599,-0.00163285777183118,0.000335854404534883
75,1217,0.0334852493415832,0.0371151042528621
50,1163,0.00109544280063865,0.00445356544031928
55,1859,-0.000723579463997107,0.00352578647061885
84,1460,-0.0214244162443391,-0.0208766421136114
56,1961,-0.000729815864917136,-0.00181891027867698
78,1884,-0.00185539269032128,-0.00220497919322061
55,1971,-0.0120898788696008,-0.0157743431012026
62,1747,0.0073105203581533,0.0101236214108379
91,844,-0.0203107358704513,-0.0214788059860632
62,577,-0.00277175084575982,-0.00269126984144678
77,1378,0.000746557766777762,0.00397108284108191
67,1131,0.00287745593252519,0.000616609251502607
35,1017,0.00612120089896784,0.00596198038080286
49,1699,-0.000186731327924821,0.00629446654140031
92,745,0.000100099364395436,-0.000314635213814749
67,831,0.00209746770016159,0.00408668653817645
20,1481,0.00145126055026866,-0.000632105445981709
47,204,-0.000989164491352369,-0.0016306366001987
41,1848,0.00347154098305851,0.000418823677909862
85,806,-0.00473879140161668,-0.0107784828688413
20,936,0.000516186289393209,-0.000484644729183685
31,1517,-0.000383981894958071,-0.0031009399564053
31,1865,3.21387480650937e-05,-0.000802207066308874
97,863,0.00273689314244095,0.00213967384088473
96,855,0.00422311004907122,0.00153942985359118
94,1684,-0.0122949025512759,-0.0148569429355865
61,300,0.00029705975105796,0.000558137599861158
62,914,-0.00580623622018558,-0.00542752240949141
