sim.id,variable,measurement,method,value
1,z_62,sd,mcmc,0.584136294232096
1,z_63,mean,mcmc,-0.296363097616085
1,z_63,sd,mcmc,0.706397098260829
1,z_64,mean,mcmc,-0.0934507850307014
1,z_64,sd,mcmc,0.681336520839136
1,z_65,mean,mcmc,-0.327569692406841
1,z_65,sd,mcmc,0.712045508570155
1,z_66,mean,mcmc,0.493496079830867
1,z_66,sd,mcmc,0.593218260211102
1,z_67,mean,mcmc,-0.0902236002975564
1,z_67,sd,mcmc,0.649233115715604
1,z_68,mean,mcmc,-0.346701186433338
1,z_68,sd,mcmc,0.709955667393033
1,z_69,mean,mcmc,0.22032501402031
1,z_69,sd,mcmc,0.616805181317478
1,z_70,mean,mcmc,-0.679903506567769
1,z_70,sd,mcmc,0.748631323860697
1,z_71,mean,mcmc,-1.01989373431342
1,z_71,sd,mcmc,0.764003188061213
1,z_72,mean,mcmc,-0.988228129571763
1,z_72,sd,mcmc,0.777552512775735
1,z_73,mean,mcmc,-0.821847745474948
1,z_73,sd,mcmc,0.763143813371436
1,z_74,mean,mcmc,-1.00210917941257
1,z_74,sd,mcmc,0.797352763877423
1,z_75,mean,mcmc,-0.970090344850354
1,z_75,sd,mcmc,0.796399145898362
1,z_76,mean,mcmc,-1.29512248478288
1,z_76,sd,mcmc,0.803383748761617
1,z_77,mean,mcmc,-0.94904860692532
1,z_77,sd,mcmc,0.764715975218624
1,z_78,mean,mcmc,-0.593717549568156
1,z_78,sd,mcmc,0.736963997943774
1,z_79,mean,mcmc,0.82122858544266
1,z_79,sd,mcmc,0.533757078682225
1,z_80,mean,mcmc,-0.442054072702175
1,z_80,sd,mcmc,0.705784848989733
1,z_81,mean,mcmc,0.220224365167909
1,z_81,sd,mcmc,0.637761485408863
1,z_82,mean,mcmc,0.258751201441202
1,z_82,sd,mcmc,0.622834636628475
1,z_83,mean,mcmc,-1.03091802888066
1,z_83,sd,mcmc,0.791073730093406
1,z_84,mean,mcmc,-0.00349726262094213
1,z_84,sd,mcmc,0.661579442910745
1,z_85,mean,mcmc,-0.783651946871498
1,z_85,sd,mcmc,0.766062451072304
1,z_86,mean,mcmc,1.88238962363047
1,z_86,sd,mcmc,0.356185672559425
1,z_87,mean,mcmc,0.545070028344904
1,z_87,sd,mcmc,0.593646768337751
1,z_88,mean,mcmc,-0.886961889345552
1,z_88,sd,mcmc,0.742794603207326
1,z_89,mean,mcmc,0.961239916526905
1,z_89,sd,mcmc,0.509650192971483
