sim.id,variable,measurement,method,value
1,mu,mean,truth,0.530764037994902
1,tau,mean,truth,1.06894948992757
1,log_tau,mean,truth,0.0666763810927089
1,mu,mean,mfvb,0.525905680833443
1,tau,mean,mfvb,1.28085690435018
1,log_tau,mean,mfvb,0.245543871233688
1,mu,sd,mfvb,0.0402715367251047
1,tau,sd,mfvb,0.0806864008088243
1,log_tau,sd,mfvb,0.0630566245743312
1,mu,sd,lrvb,0.0609685170645794
1,tau,sd,lrvb,0.141803592033234
1,log_tau,sd,lrvb,0.11074554132255
1,mu,mean,mcmc,0.524447999046132
1,mu,sd,mcmc,0.0634874794901088
1,mu,effsize,mcmc,1422.47912867993
1,tau,mean,mcmc,1.20761593093688
1,tau,sd,mcmc,0.14365839638332
1,tau,effsize,mcmc,987.60650180772
1,log_tau,mean,mcmc,0.181693587802619
1,log_tau,sd,mcmc,0.117685955635706
1,z_1,mean,mcmc,0.417262671189152
1,z_1,sd,mcmc,0.583011579353089
1,z_2,mean,mcmc,-1.38974215773963
1,z_2,sd,mcmc,0.805666345189011
1,z_3,mean,mcmc,-0.201820342407193
1,z_3,sd,mcmc,0.693618994352206
1,z_4,mean,mcmc,0.0347331933845841
1,z_4,sd,mcmc,0.680461421083981
1,z_5,mean,mcmc,-1.06257323650313
1,z_5,sd,mcmc,0.774638883945083
1,z_6,mean,mcmc,-0.946913977270554
1,z_6,sd,mcmc,0.769736697401813
1,z_7,mean,mcmc,1.63218512030072
1,z_7,sd,mcmc,0.399505478312596
1,z_8,mean,mcmc,0.676018413347312
1,z_8,sd,mcmc,0.553192808690449
1,z_9,mean,mcmc,-0.115871545538901
1,z_9,sd,mcmc,0.697676050716921
1,z_10,mean,mcmc,-0.827687001338085
1,z_10,sd,mcmc,0.750237395625243
1,z_11,mean,mcmc,-0.965076110270646
1,z_11,sd,mcmc,0.754635627012762
1,z_12,mean,mcmc,-0.900235937692169
1,z_12,sd,mcmc,0.771226103104486
1,z_13,mean,mcmc,1.14869518795159
1,z_13,sd,mcmc,0.476858480210347
1,z_14,mean,mcmc,-0.442970449785381
1,z_14,sd,mcmc,0.732600550563752
1,z_15,mean,mcmc,0.617519628595252
1,z_15,sd,mcmc,0.567422088106234
1,z_16,mean,mcmc,-0.13804412639179
1,z_16,sd,mcmc,0.678495345882828
1,z_17,mean,mcmc,-0.707617164017967
1,z_17,sd,mcmc,0.747259415618194
1,z_18,mean,mcmc,-0.415030003228274
1,z_18,sd,mcmc,0.718628977841326
1,z_19,mean,mcmc,-0.189114231044423
1,z_19,sd,mcmc,0.695201171133243
1,z_20,mean,mcmc,0.23900185236009
1,z_20,sd,mcmc,0.607266018791339
1,z_21,mean,mcmc,0.765971289669899
1,z_21,sd,mcmc,0.548008103049029
1,z_22,mean,mcmc,-0.0295569976961259
1,z_22,sd,mcmc,0.666263224795961
1,z_23,mean,mcmc,0.733625203256253
1,z_23,sd,mcmc,0.534889225184773
1,z_24,mean,mcmc,-1.04402571991628
1,z_24,sd,mcmc,0.78317965805082
1,z_25,mean,mcmc,0.180232702743022
1,z_25,sd,mcmc,0.622011345548831
1,z_26,mean,mcmc,-0.975457080225642
1,z_26,sd,mcmc,0.763904303747074
1,z_27,mean,mcmc,0.875964973023611
1,z_27,sd,mcmc,0.525830675204633
1,z_28,mean,mcmc,-0.451629825986667
1,z_28,sd,mcmc,0.711273971693006
1,z_29,mean,mcmc,-1.65884127286771
1,z_29,sd,mcmc,0.858874367773883
1,z_30,mean,mcmc,-0.979313822938273
1,z_30,sd,mcmc,0.769648598544002
1,z_31,mean,mcmc,-0.460882802996894
1,z_31,sd,mcmc,0.700475313029132
1,z_32,mean,mcmc,1.03144538898764
1,z_32,sd,mcmc,0.485970641847826
1,z_33,mean,mcmc,-0.418753370314823
1,z_33,sd,mcmc,0.733157600744695
1,z_34,mean,mcmc,1.44623002718795
1,z_34,sd,mcmc,0.430211401952333
1,z_35,mean,mcmc,1.76432649229901
1,z_35,sd,mcmc,0.377145043465019
1,z_36,mean,mcmc,-0.292980091184382
1,z_36,sd,mcmc,0.704239031626458
1,z_37,mean,mcmc,1.28073097873038
1,z_37,sd,mcmc,0.447083944130634
1,z_38,mean,mcmc,-0.00975085593562407
1,z_38,sd,mcmc,0.650478734216129
1,z_39,mean,mcmc,-0.581895406065826
1,z_39,sd,mcmc,0.711647962182366
