sim.id,method,component,x
2,mfvb,13,0
2,mfvb,14,0
2,mfvb,15,0.00778548968643454
2,mfvb,16,0
2,mcmc,1,0
2,mcmc,2,0.0061607819799335
2,mcmc,3,0.00185106223935164
2,mcmc,4,0.00100112926731634
2,mcmc,5,0.0061607819799335
2,mcmc,6,0
2,mcmc,7,0.00357467873428573
2,mcmc,8,0.00193360430665327
2,mcmc,9,0.00185106223935164
2,mcmc,10,0.00357467873428573
2,mcmc,11,0
2,mcmc,12,0.0357575076218914
2,mcmc,13,0.00100112926731634
2,mcmc,14,0.00193360430665327
2,mcmc,15,0.0357575076218914
2,mcmc,16,0
3,lrvb,1,0
3,lrvb,2,0.00787352091359047
3,lrvb,3,0.000245559904826654
3,lrvb,4,0.000193057561907097
3,lrvb,5,0.00787352091359046
3,lrvb,6,0
3,lrvb,7,0.000485218146248216
3,lrvb,8,0.000381475275346312
3,lrvb,9,0.0002455599048267
3,lrvb,10,0.000485218146248306
3,lrvb,11,0
3,lrvb,12,0.0165099303291787
3,lrvb,13,0.000193057561907131
3,lrvb,14,0.00038147527534638
3,lrvb,15,0.0165099303291787
3,lrvb,16,0
3,mfvb,1,0
3,mfvb,2,0.00340634346927684
3,mfvb,3,0
3,mfvb,4,0
3,mfvb,5,0.00340634346927684
3,mfvb,6,0
3,mfvb,7,0
3,mfvb,8,0
3,mfvb,9,0
3,mfvb,10,0
3,mfvb,11,0
3,mfvb,12,0.00504742760214365
3,mfvb,13,0
3,mfvb,14,0
3,mfvb,15,0.00504742760214365
3,mfvb,16,0
3,mcmc,1,0
3,mcmc,2,0.00818742454069069
3,mcmc,3,0.000477656734253559
3,mcmc,4,0.000394781865955006
3,mcmc,5,0.00818742454069069
3,mcmc,6,0
3,mcmc,7,0.000930947439691406
3,mcmc,8,0.000768322347309649
3,mcmc,9,0.000477656734253559
3,mcmc,10,0.000930947439691406
3,mcmc,11,0
3,mcmc,12,0.016679339768276
3,mcmc,13,0.000394781865955006
3,mcmc,14,0.000768322347309649
3,mcmc,15,0.016679339768276
3,mcmc,16,0
4,lrvb,1,0
4,lrvb,2,0.00658589483049612
4,lrvb,3,0.00141993873341833
4,lrvb,4,0.00062308800835452
4,lrvb,5,0.00658589483049614
4,lrvb,6,0
4,lrvb,7,0.00362103051361591
4,lrvb,8,0.00158895636679219
4,lrvb,9,0.0014199387334181
4,lrvb,10,0.00362103051361533
4,lrvb,11,0
4,lrvb,12,0.0426897688184192
4,lrvb,13,0.000623088008354415
4,lrvb,14,0.00158895636679192
4,lrvb,15,0.0426897688184192
4,lrvb,16,0
4,mfvb,1,0
4,mfvb,2,0.00234969989958928
4,mfvb,3,0
4,mfvb,4,0
4,mfvb,5,0.00234969989958928
4,mfvb,6,0
4,mfvb,7,0
4,mfvb,8,0
4,mfvb,9,0
4,mfvb,10,0
4,mfvb,11,0
4,mfvb,12,0.00904314870132894
4,mfvb,13,0
4,mfvb,14,0
4,mfvb,15,0.00904314870132894
4,mfvb,16,0
4,mcmc,1,0
4,mcmc,2,0.00658670087418123
4,mcmc,3,0.00122549754096078
4,mcmc,4,0.000534759480021141
4,mcmc,5,0.00658670087418123
4,mcmc,6,0
4,mcmc,7,0.0031093950383857
4,mcmc,8,0.00135407814135567
4,mcmc,9,0.00122549754096078
4,mcmc,10,0.0031093950383857
4,mcmc,11,0
4,mcmc,12,0.0451276633156526
4,mcmc,13,0.000534759480021141
