sim.id,measurement,method,variable,component,value
1,mean,truth,gamma,24,-0.313221026927424
1,mean,mfvb,gamma,24,-0.977250213017772
1,sd,mfvb,gamma,24,0.552869768929708
1,sd,lrvb,gamma,24,0.582586867403424
1,mean,truth,gamma,25,-0.353774267498717
1,mean,mfvb,gamma,25,-0.659311778422846
1,sd,mfvb,gamma,25,0.522271790271489
1,sd,lrvb,gamma,25,0.537433020152611
1,mean,truth,gamma,26,-0.375620201799639
1,mean,mfvb,gamma,26,-0.758914333544637
1,sd,mfvb,gamma,26,0.400116162752436
1,sd,lrvb,gamma,26,0.431106853299129
1,mean,truth,gamma,27,0.6360058546046
1,mean,mfvb,gamma,27,0.0992007076474098
1,sd,mfvb,gamma,27,0.412772339871846
1,sd,lrvb,gamma,27,0.436589031350287
1,mean,truth,gamma,28,0.106911438975855
1,mean,mfvb,gamma,28,-0.0526342625703679
1,sd,mfvb,gamma,28,0.478765852619202
1,sd,lrvb,gamma,28,0.49075534994364
1,mean,truth,gamma,29,-0.406462984827894
1,mean,mfvb,gamma,29,-0.0315713098251788
1,sd,mfvb,gamma,29,0.596367926730411
1,sd,lrvb,gamma,29,0.605129714959379
1,mean,truth,gamma,30,-0.0626843471180428
1,mean,mfvb,gamma,30,-0.070120974873116
1,sd,mfvb,gamma,30,0.584197539149291
1,sd,lrvb,gamma,30,0.593262360022646
1,cov,lrvb,cov_beta2_beta1,-1,0.000458287074878086
1,cov,mfvb,cov_beta2_beta1,-1,0.000145022076292521
1,cov,lrvb,cov_tau_beta1,-1,0.000130806387990514
1,cov,mfvb,cov_tau_beta1,-1,0
1,cov,lrvb,cov_tau_beta2,-1,-4.66512366297979e-05
1,cov,mfvb,cov_tau_beta2,-1,0
1,cov,lrvb,cov_log_tau_beta1,-1,0.000598293724890021
1,cov,mfvb,cov_log_tau_beta1,-1,0
1,cov,lrvb,cov_log_tau_beta2,-1,-0.000213377515905354
1,cov,mfvb,cov_log_tau_beta2,-1,0
1,cov,lrvb,cov_log_tau_tau,-1,0.00158856966682506
1,cov,mfvb,cov_log_tau_tau,-1,0.00143837099779217
1,cov,lrvb,cov_nu_beta1,-1,-0.0093345357709411
1,cov,mfvb,cov_nu_beta1,-1,0
1,cov,lrvb,cov_nu_beta2,-1,0.00369372624757966
1,cov,mfvb,cov_nu_beta2,-1,0
1,cov,lrvb,cov_nu_tau,-1,-0.000696284866855764
1,cov,mfvb,cov_nu_tau,-1,0
1,cov,lrvb,cov_nu_log_tau,-1,-0.00318472876573809
1,cov,mfvb,cov_nu_log_tau,-1,0
1,cov,lrvb,cov_log_nu_beta1,-1,-0.00738708709736092
1,cov,mfvb,cov_log_nu_beta1,-1,0
1,cov,lrvb,cov_log_nu_beta2,-1,0.00292311028360107
1,cov,mfvb,cov_log_nu_beta2,-1,0
1,cov,lrvb,cov_log_nu_tau,-1,-0.000551020113078345
1,cov,mfvb,cov_log_nu_tau,-1,0
1,cov,lrvb,cov_log_nu_log_tau,-1,-0.00252030409987984
