n,p,k,variable,value
50000,5,3,gibbs.effsize,3750.98808285026
1e+05,2,3,gibbs.effsize,74.8699325532909
1e+05,3,3,gibbs.effsize,514.292018345296
1e+05,4,3,gibbs.effsize,1966.95454436995
1e+05,5,3,gibbs.effsize,3797.00617766743
2500,2,3,lrvb.proportion,0.0109699457878486
2500,3,3,lrvb.proportion,0.0966368570659563
2500,4,3,lrvb.proportion,0.206738186678041
2500,5,3,lrvb.proportion,0.385589764745193
5000,2,3,lrvb.proportion,0.0114718540095031
5000,3,3,lrvb.proportion,0.0886652767906036
5000,4,3,lrvb.proportion,0.219332614415795
5000,5,3,lrvb.proportion,0.413603343709724
10000,2,3,lrvb.proportion,0.0104961466535059
10000,3,3,lrvb.proportion,0.0751981603267853
10000,4,3,lrvb.proportion,0.198079281401146
10000,5,3,lrvb.proportion,0.426638458310626
25000,2,3,lrvb.proportion,0.0110016964366009
25000,3,3,lrvb.proportion,0.0792063196026148
25000,4,3,lrvb.proportion,0.207141267667996
25000,5,3,lrvb.proportion,0.416370117762406
50000,2,3,lrvb.proportion,0.010345156537501
50000,3,3,lrvb.proportion,0.0736098481698439
50000,4,3,lrvb.proportion,0.22653887441364
50000,5,3,lrvb.proportion,0.391098026728429
1e+05,2,3,lrvb.proportion,0.011320343276331
1e+05,3,3,lrvb.proportion,0.076573197902234
1e+05,4,3,lrvb.proportion,0.222192608296335
1e+05,5,3,lrvb.proportion,0.389505986758713
2500,2,3,gibbs.scaled,601.971286735096
2500,3,3,gibbs.scaled,103.792739272264
2500,4,3,gibbs.scaled,26.9503480626217
2500,5,3,gibbs.scaled,20.6069777095264
5000,2,3,gibbs.scaled,1229.26659188282
5000,3,3,gibbs.scaled,208.874204619985
5000,4,3,gibbs.scaled,60.2537413261705
5000,5,3,gibbs.scaled,32.0506135037203
10000,2,3,gibbs.scaled,2237.07732911831
10000,3,3,gibbs.scaled,405.136074413607
10000,4,3,gibbs.scaled,110.94891336353
10000,5,3,gibbs.scaled,54.6323661593833
25000,2,3,gibbs.scaled,5513.13617863507
25000,3,3,gibbs.scaled,968.986448326038
25000,4,3,gibbs.scaled,270.851011840214
25000,5,3,gibbs.scaled,124.837309681568
50000,2,3,gibbs.scaled,12552.9642744891
50000,3,3,gibbs.scaled,1855.73371970252
50000,4,3,gibbs.scaled,429.411525164793
50000,5,3,gibbs.scaled,239.204633883622
1e+05,2,3,gibbs.scaled,21940.6347115242
1e+05,3,3,gibbs.scaled,3200.07239605403
1e+05,4,3,gibbs.scaled,783.281884946982
1e+05,5,3,gibbs.scaled,384.701430235305
